Entity,Year,Deaths
Drought,1988,1600
Drought,1989,237
Drought,1991,2000
Drought,1997,732
Drought,1998,20
Drought,1999,361
Drought,2000,80
Drought,2001,99
Drought,2002,588
Drought,2003,9
Drought,2004,80
Drought,2005,149
Drought,2006,134
Drought,2008,8
Drought,2010,20000
Drought,2015,35
Earthquake,1901,18
Earthquake,1902,6747
Earthquake,1903,6000
Earthquake,1905,22500
Earthquake,1906,31966
Earthquake,1907,25641
Earthquake,1908,75000
Earthquake,1909,5146
Earthquake,1910,1762
Earthquake,1912,923
Earthquake,1913,150
Earthquake,1914,149
Earthquake,1915,29986
Earthquake,1917,19450
Earthquake,1918,10379
Earthquake,1920,180000
Earthquake,1922,1100
Earthquake,1923,152362
Earthquake,1924,767
Earthquake,1925,5013
Earthquake,1926,12
Earthquake,1927,206142
Earthquake,1928,635
Earthquake,1929,3317
Earthquake,1930,5081
Earthquake,1931,1537
Earthquake,1932,70006
Earthquake,1933,16180
Earthquake,1934,15496
Earthquake,1935,66110
Earthquake,1936,26
Earthquake,1938,166
Earthquake,1939,63094
Earthquake,1940,1275
Earthquake,1941,189
Earthquake,1942,7235
Earthquake,1943,4332
Earthquake,1944,14984
Earthquake,1945,5961
Earthquake,1946,5153
Earthquake,1947,633
Earthquake,1948,115618
Earthquake,1949,6486
Earthquake,1950,1833
Earthquake,1951,1554
Earthquake,1952,2432
Earthquake,1953,2717
Earthquake,1954,3344
Earthquake,1955,959
Earthquake,1956,763
Earthquake,1957,6993
Earthquake,1958,227
Earthquake,1959,103
Earthquake,1960,19395
Earthquake,1961,60
Earthquake,1962,12209
Earthquake,1963,1700
Earthquake,1964,335
Earthquake,1965,683
Earthquake,1966,2752
Earthquake,1967,1013
Earthquake,1968,10858
Earthquake,1969,3353
Earthquake,1970,78599
Earthquake,1971,1107
Earthquake,1972,15170
Earthquake,1973,552
Earthquake,1974,24808
Earthquake,1975,12632
Earthquake,1976,276994
Earthquake,1977,3098
Earthquake,1978,25162
Earthquake,1979,2100
Earthquake,1980,7730
Earthquake,1981,4206
Earthquake,1982,2120
Earthquake,1983,2148
Earthquake,1984,57
Earthquake,1985,9853
Earthquake,1986,1181
Earthquake,1987,5160
Earthquake,1988,27049
Earthquake,1989,650
Earthquake,1990,42853
Earthquake,1991,2454
Earthquake,1992,4033
Earthquake,1993,10088
Earthquake,1994,1242
Earthquake,1995,7739
Earthquake,1996,576
Earthquake,1997,3159
Earthquake,1998,9573
Earthquake,1999,21869
Earthquake,2000,217
Earthquake,2001,21348
Earthquake,2002,1639
Earthquake,2003,29617
Earthquake,2004,227290
Earthquake,2005,76241
Earthquake,2006,6692
Earthquake,2007,780
Earthquake,2008,87918
Earthquake,2009,1893
Earthquake,2010,226733
Earthquake,2011,20946
Earthquake,2012,711
Earthquake,2013,1120
Earthquake,2014,774
Earthquake,2015,9550
Earthquake,2016,1311
Earthquake,2017,49
Epidemic,1900,30
Epidemic,1901,200000
Epidemic,1907,1300000
Epidemic,1909,1500040
Epidemic,1910,60000
Epidemic,1917,2500000
Epidemic,1918,449700
Epidemic,1920,2500000
Epidemic,1923,100000
Epidemic,1924,300000
Epidemic,1926,423000
Epidemic,1932,16
Epidemic,1935,2000
Epidemic,1940,1500
Epidemic,1947,10276
Epidemic,1953,481
Epidemic,1963,1000
Epidemic,1964,617
Epidemic,1965,816
Epidemic,1966,200
Epidemic,1967,3137
Epidemic,1968,1
